Cluster 0:
previous equation,wrong equation,id,cluster
x + b = aa,x = aa + b,1,0
x + b = aa,x = aa + b,2,0
x - bb = - a,x = a + bb,16,0
x - b = - aa,x = aa + b,19,0
x + b = aa,x = aa + b,21,0
x + b = aa,x = aa + b,22,0
x + b = aa,x = aa + b,23,0
x - b = - aa,x = aa + b,24,0
x + bb = aa,x = aa + bb,29,0
x + b = aa,x = aa + b,35,0
x + b = a,x = a + b,39,0
x + bb = aa,x = aa + bb,42,0
x + bb = aa,x = aa + bb,45,0
x + bb = aa,x = aa + bb,46,0
x + b = aa,x = aa + b,48,0
x + bb = aa,x = aa + bb,276,0
x + b = aa,x + b = a,286,0
x - b = - aa,x = aa + b,293,0
- x - bb = aa,x + bb = aa,311,0
x + bb + c = - aa,x + bb = aa,329,0
x + bb + c = - aa,x + bb = aa,330,0
x + b = aa,x = aa + b,337,0
x + b = aa,x = aa + b,338,0
x + b = aa,x = aa + b,339,0
x = aa + bb,x = aa + bb,412,0
x + b = aa,x = aa + b,415,0
x - b = - aa,x = aa + b,424,0
x + b = a,x = a + b,737,0
x + b = a,x = a + b,738,0
x + b = aa,x = aa + b,749,0
x + b - c = aa - b,x + z = a,785,0
x - bb = - aa,x = aa + bb,869,0
x + b = aa,x = a + bb,922,0
x + b = aa,x = a + bb,923,0
x + b = aa,x = a + bb,924,0
x + b = aa,x = a + bb,925,0
ax + bb = aa,ax = aa + bb,980,0
aa + bb - cx = - ax - b - cc,aaa + bx = aa,1026,0
x = aa - b,x = a + bb,1033,0
( aax + bbb ) / ( cc ) = ( x ) / ( b ),ax = aax + bbb,1065,0
x + b = a,x = a + b,1084,0
x + b = aa,x = aa + b,1092,0
ax + bb = aa,ax = aa + bb,1111,0


Cluster 1:
previous equation,wrong equation,id,cluster
x = aa - b,x = a,3,1
x = - a - b,x = a,6,1
x = - a - b,x = a,7,1
x = - aa - b,x = aa,8,1
x = - aa - b,x = aa,9,1
x = - aa - b,x = a,12,1
x = - aa + b,x = aa,20,1
x = - aa + b,x = a,26,1
x + b = - a,x = a,31,1
x = aa - b,x = aa,38,1
x = a - b - z,x = aa,41,1
x + b = aa,x = aa,44,1
x = aa - bb,x = aa,47,1
x + bb = aa,x = a,50,1
( aax ) / ( bb ) = - ( aa ) / ( bb ),x = a,57,1
x - b = a,x = z,59,1
x = aa * bb,x = aaaa,63,1
x + b = a,x = a,65,1
x + b = a,x = a,66,1
x + bb = aa,a = x,67,1
x + bb = aa,x = aa,68,1
x - b = aa,x = a,69,1
x + b = aa,x = a,80,1
x = aa - bb,x = aa,82,1
x = aa - bb,x = aa,83,1
x = aa - bb,x = aa,84,1
x - b = aa,x = aa,88,1
x - b = aa,x = aa,90,1
x - b = aa,x = a,91,1
x - b = aa,x = a,92,1
x + b = - a,x = a,95,1
x + b = - a,x = a,97,1
x + b = - aa,x = aa,98,1
x - b = aa,x = aa,108,1
x + b = - a,x = a,114,1
x + bb = - aa,x = aa,115,1
x - bb = - aa,x = aa,116,1
x - bb = a,x = a,121,1
x + bb = - aa,x = z,122,1
x + bb = - aa,x = aa,126,1
x + bb = - aa,x = aa,128,1
x - b = - aa,x = aa,133,1
x - bb = - aa,x = a,135,1
x - b = - aa,x = aa,136,1
x + b = aa,x = aa,137,1
x + b = aa,x = aa,139,1
x + bb = - aa,x = z,141,1
x + bb = - aa,x = a,142,1
x - b = aa,x = aa,144,1
x - b = - aa,x = aa,145,1
x + b = - aa,x = aa,151,1
x - b = - aa,x = a,152,1
x - bb = - aa,x = aa,153,1
- x + b = a,x = a,155,1
x - b = a,x = a,172,1
x + b = aa,x = aa,173,1
x - b = aa,x = a,177,1
x - b = - aa,x = aa,183,1
x - bb = - aa,x = a,187,1
( x ) / ( b ) = aa,x = a,192,1
- ( x ) / ( bb ) = - aa,x = aaa,196,1
x - bb = a,x = a,199,1
x + bb = - aa,x = aa,200,1
x - bb = - aa,x = aa,201,1
x + bbb = aa,x = a,203,1
- x - b = aa,x = a,204,1
- x - b = aa,x = aa,206,1
- x - b = aa,x = aa,207,1
- x + b = - aa,x = aa,208,1
- x + b = - aa,x = aa,209,1
- x + bb = - aa,x = a,211,1
- x + bb = - aa,x = a,212,1
- x - bbb = - aaa,x = aaa,214,1
- x - bbb = - aaa,x = aaa,216,1
- x - bbb = - aaa,x = aaa,217,1
- x - bbb = - aaa,x = aaa,218,1
- x - bbb = - aaa,x = aaa,219,1
- x - bbb = - aaa,x = aaa,220,1
- x - bbb = - aaa,x = aaa,221,1
- x - bbb = - aaa,x = aaa,222,1
- x - bbb = - aaa,x = aaa,223,1
- x - bbb = - aaa,x = aaa,224,1
- x - bbb = - aaa,x = aaa,225,1
- x - bbb = - aaa,x = aaa,226,1
- x - bbb = - aaa,x = aaa,227,1
- x - bbb = - aaa,x = aaa,228,1
- x - bbb = - aaa,x = aaa,229,1
- x - bbb = - aaa,x = aaa,230,1
- x - bbb = - aaa,x = aaa,231,1
- x - bbb = - aaa,x = aaa,232,1
- x - bbb = - aaa,x = aaa,233,1
- x - bbb = - aaa,x = aaa,234,1
- x - bbb = - aaa,x = aaa,235,1
- x - bbb = - aaa,x = aaa,236,1
- x - bbb = - aaa,x = aaa,237,1
- x - bbb = - aaa,x = aaa,238,1
- x - bbb = - aaa,x = aaa,239,1
- x - bbb = - aaa,x = aaa,240,1
- x - bbb = - aaa,x = aaa,241,1
x + bb = aa,x = aa,246,1
x = aa - b,x = aa,248,1
x + b = - a,x = a,249,1
- x - b = - aa,x = aa,252,1
- x + bb = - aaa,x = aaa,254,1
x = - aa + b,x = a,257,1
x + bb = - aa,x = z,259,1
- x + b = aa,x = a,264,1
- x - b = aa,x = aa,265,1
- x - b = aa,x = a,266,1
x - bb = - a,x = aa,267,1
- x + bb = - aa,x = aa,269,1
- x + bb = - aa,x = aa,270,1
- x + bb = - aa,x = aa,272,1
- x + bb = - aa,x = aa,273,1
x - bb = - aa,x = aa,274,1
ax - b = ax + b,ax = a,277,1
x + b = aa,x = aa,281,1
x + b = aa,x = aa,283,1
x + b = aa,x = a,288,1
x - b = - aa,x = a,292,1
x - b = - aa,x = aa,294,1
x - b = - aa,x = aa,295,1
x + bb = aa,x = aa,296,1
x + bb = aa,x = aa,297,1
- x = a,x = a,298,1
x * x = aaa,x = a,307,1
x = - aa - b,x = aa,308,1
- x - b = a,x = a,309,1
- x - b = a,x = a,310,1
x - b = aa,x = aa,314,1
x + bb = aa,x = aa,316,1
x + bb = aa,x = aa,317,1
x + bb = aaa,x = aaa,318,1
x + bbb = aaa,x = aaa,319,1
x + bbb = aaa,x = aa,320,1
x + bbb = aaa,x = aaa,321,1
x + bbb = aaa,x = aaa,331,1
x + bbb = aaa,x = aaa,332,1
x = a * b - c,x = aa,335,1
x = a * b - c,x = a,336,1
x = aa - b,x = a,340,1
x = - ( aa ) / ( b ),x = a,343,1
x = - ( aa ) / ( b ),x = a,344,1
x + b = aa,x = aa,346,1
x = aa - bb,x = aa,347,1
x + b = a,x = aa,348,1
x + b = aa,x = aa,349,1
x = aa - z,x = aa,350,1
x = aa - bb,x = aa,351,1
x = aa - bb,x = aa,352,1
x + b = a,x = aa,353,1
x = aa - bb,x = aa,354,1
x = - aa + b,x = a,358,1
x + b = - a,x = a,362,1
x + b = - a,x = a,363,1
x + b = - aa,x = aa,364,1
x + b = - aa,x = aa,365,1
x = aa - bb,x = aa,366,1
- x = aa - bb,x = aa,368,1
x - b = - aa,x = aa,372,1
x - b = - aa,x = aa,374,1
x - bb = - a,x = z,376,1
x - b = - aa,x = aa,382,1
x - b = - aa,x = aa,385,1
x - b = aa,x = aa,391,1
aax + bb = - ax + b,aax = aa,395,1
ax - ( - bx - c ) = - ax - ( bx + c ),x = z,396,1
ax - ( - bx - c ) = - ax - ( bx + c ),x = a,397,1
ax = - aa,x = a,398,1
x = a + b,x = a,401,1
x + b = aa,x = aa,402,1
x - bb = a,x = aa,403,1
x = aa - bb,x = aa,406,1
x = - a - bb,x = aa,411,1
x = - a - bb,x = aa,413,1
x = - aa + b,x = a,417,1
x = - aa + b,x = aa,422,1
x = - aa - bb,x = z,423,1
x = aa - bb,x = a,426,1
x = aa - bb,x = a,427,1
x = - aa + b,x = aa,428,1
x - b = - aa,x = a,432,1
- x = aa,x = aa,433,1
- x = aa,x = aa,434,1
- x = aa,x = aa,438,1
- x + b = aa,x = a,440,1
x = aa - b,x = a,442,1
x = aa - b,x = a,443,1
x = aa - b,x = a,444,1
x = aa - b,x = a,445,1
x = aa - b,x = a,446,1
x = aa - b,x = a,447,1
x = aa - b,x = a,449,1
x = aa - b,x = a,451,1
x = aa - bb,x = aa,455,1
x = aa + b,x = a,456,1
x = - aa - bb,x = aa,457,1
- x = - aa - bb,x = aaa,458,1
- x = - aaa + bbb,x = aaa,459,1
- x = - aaa + bbb,x = aaa,460,1
x = - aa - bb,x = aa,461,1
x = ( a ) / ( b ),x = a,466,1
x + b = - a,x = a,470,1
x + b = - a,x = a,471,1
x + b = - a,x = a,472,1
x + bbb = aa,x = a,473,1
- x + bb = aa,x = aa,474,1
x + bbb = aa,x = a,475,1
- x - bb = aa,x = aa,476,1
- x - bb = aa,x = aa,477,1
x + bbb = aa,x = a,480,1
- x + bb = aa,x = aa,481,1
- x - bb = aa,x = aa,482,1
ax = x,x = a,488,1
x + bbb = aa,x = a,490,1
- x + bb = aa,x = aa,491,1
- x - bb = aa,x = aa,492,1
- x - bb = aa,x = aa,493,1
x + bbb = aa,x = a,494,1
x + bbb = aa,x = a,495,1
- x + bb = aa,x = aa,496,1
- x - bb = aa,x = aa,497,1
- x - bb = aa,x = aa,498,1
x + bbb = aa,x = a,499,1
( x ) / ( b ) * c = aa * b,x = aaa,502,1
( x ) / ( b ) * c = aa * b,x = aaa,503,1
x - b = aa,x = aa,507,1
x + b = - a,x = a,516,1
x = - aa - b,x = aa,518,1
x + bb = - aa,x = z,520,1
x - bb = - aa,x = a,524,1
x - bb = - aa,x = a,525,1
- x + bb = aa,x = aa,526,1
x + bbb = aa,x = aaa,527,1
- x - bbb = - aaa,x = aa,528,1
x + bb = - aa,x = z,529,1
x + bb = aaa,x = aaa,534,1
x - b = aa,x = aa,535,1
- ax = aa,x = a,537,1
- ax = aa,x = a,538,1
- aax = - a,x = a,539,1
- ax = - aa,x = aa,540,1
( x ) / ( bb ) = - aa,x = aaa,549,1
- ( x ) / ( bb ) = - aa,x = aaa,551,1
ax - bb + ccx = aaa,aax = aaa,565,1
ax - bb + ccx = aaa,aax = aaa,566,1
ax = - a,x = a,579,1
- ax + b = ax - b,x = a,580,1
- ax + b = ax - b,x = a,581,1
aa - ( - bb + cx ) = - ( ax + b ) - cc,aaa = ax,650,1
( x ) / ( b ) = - aa,x = aaa,651,1
( x ) / ( bb ) = - aa,x = aaa,652,1
ax + bb = aa,x = a,654,1
ax + b = ax + b,x = a,656,1
ax - b = ax - b,x = a,659,1
( x ) / ( b ) = - aa,x = aaa,663,1
zx = zx,x = aa,700,1
zx = zx,x = z,701,1
- ax = aaa,x = aaa,721,1
x = ( aaa ) / ( - b ),x = aa,722,1
x = - ( aaa ) / ( bb ),x = aa,724,1
x = ( aa ) / ( b ),x = a,727,1
a * ( x - c ) / d - x / f = ( x + b ) / ( c ),x = aaa,728,1
- x = aa,x = aa,729,1
x - bb = aa,x = a,730,1
x + b = - a,x = a,731,1
- x - b = a,x = z,735,1
aax + b = aax + bb,ax = aa,743,1
x + b = - a,x = a,745,1
( ax + bb ) / ( ccc ) = ( x ) / ( bbb ),ax = aa,751,1
ax = aa + bb,ax = aa,753,1
x = ( aa ) / ( b ),x = a,754,1
x = ( z ) / ( bbb ),x = aa,755,1
x = ( z ) / ( bbb ),x = aaa,756,1
x + b = a,x = a,761,1
ax - bx = a - b,x = a,767,1
ax - bx = a - b,x = a,768,1
x = ( aaa ) / ( b ),x = aa,770,1
x = aa - b,x = a,781,1
x = aa - b,x = a,782,1
x + b - cx + d = - ax + b - cx + d,aax = aa,784,1
x + b = aa,x = a,787,1
x + b = aa,x = a,790,1
x + bb = aa,x = aa,791,1
x - b = a,x = a,792,1
x - bb = - a,x = a,793,1
x + b = - aa,x = aa,795,1
x + bb = - aa,x = z,797,1
x + bbb = aa,x = a,798,1
x + b = aa,x = a,799,1
x - b = aa,x = aa,801,1
x = ( aaa ) / ( bb ),x = aa,806,1
